,,,,,※ 값으로 변경 후 사용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"4,542",,,,,,,,,,,,,,,"60,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"구좌1 - 
영업제한업종","구좌1 - 
영업제한기한","구좌2 - 
영업제한업종","구좌2 - 
영업제한기한",단지명,단지코드(FMS),도시,구,동(법정동),주소(지번),주소(도로명),건물유형,준공연도,건물층수,기준평형,총 세대수,총 인구수,최초 설치일자,판매등급,판매수량,대당단가,4주 금액,프리미엄 여부,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양삼송A14단지,AAGDY1003698,경기도,고양시 덕양구,원흥동,경기도 고양시 덕양구 원흥동 669 삼송마을14단지아파트,"경기도 고양시 덕양구 권율대로 726 (원흥동, 삼송마을14단지아파트)",아파트,2014,19,20,930,2511,2020. 1. 20,A,17,7000,119000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양삼송LH10단지아파트,AAGDY1006533,경기도,고양시 덕양구,원흥동,경기도 고양덕양구 원흥동 614 고양삼송LH10단지,"경기도 고양시 덕양구 원흥1로 31 (원흥동, 고양삼송엘에이치10단지아파트)",아파트,2022,10,12,777,2098,2020. 9. 2,A,12,7000,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양삼송LH원흥마을11단지,AAGDY1002744,경기도,고양시 덕양구,원흥동,경기도 고양시 덕양구 원흥동 615 고양삼송엘에이치원흥마을11단지,"경기도 고양시 덕양구 원흥1로 25 (원흥동, 고양삼송엘에이치원흥마을11단지)",아파트,2016,17,10,832,2246,2022. 12. 12,A,11,7000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양삼송원흥마을LH12단지,AAGDY1003008,경기도,고양시 덕양구,원흥동,경기도 고양시 덕양구 원흥동 617 원흥마을12단지,"경기도 고양시 덕양구 원흥1로 11 (원흥동, 원흥마을12단지)",아파트,2019,20,11,1372,3704,2020. 9. 17,A,20,7000,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양원흥A1,AAGDY1003736,경기도,고양시 덕양구,원흥동,경기도 고양시 덕양구 원흥동 717 엘에이치원흥도래울마을1단지,"경기도 고양시 덕양구 삼원로 102 (원흥동, 엘에이치원흥도래울마을1단지)",아파트,2014,21,16,1578,4261,2019. 9. 24,A,21,7000,147000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,삼송원흥역동원로얄듀크비스타2차,AAGDY1005565,경기도,고양시 덕양구,원흥동,경기도 고양시 덕양구 원흥동 635,경기도 고양시 덕양구 권율대로 690 (원흥동),아파트,2020,35,36,312,842,2020. 9. 9,A,5,7000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,원흥역푸르지오,AOGDY1005831,경기도,고양시 덕양구,원흥동,경기도 고양시 덕양구 원흥동 623 원흥역 푸르지오,경기도 고양시 덕양구 권율대로 671 (원흥동),오피스텔,2021,49,51,1192,2241,2021. 9. 27,A,18,7000,126000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,대동피렌체,AMGDY0400669,경기도,고양시 덕양구,주교동,경기도 고양시 덕양구 주교동 615 대동피렌체,"경기도 고양시 덕양구 호국로 797 (주교동, 대동피렌체)",주상복합,2006,18,34,164,246,2021. 4. 28,A,2,7000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,주교우림루미아트아파트,AAGDY0406369,경기도,고양시 덕양구,주교동,경기도 고양시 덕양구 주교동 555 우림아파트,"경기도 고양시 덕양구 원당로125번길 6 (주교동, 우림아파트)",아파트,2004,19,34,163,440,2018. 1. 26,A,5,7000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,부동산 업종 제한,2026.2.22,,,지축역중흥S클래스북한산파크뷰,AAGDY1405969,경기도,고양시 덕양구,지축동,경기도 고양시 덕양구 지축동 915 지축역 중흥s-클래스 북한산파크뷰,"경기도 고양시 덕양구 오부자로 77 (지축동, 지축역 중흥s-클래스 북한산파크뷰)",아파트,2020,29,32,732,1976,2022. 7. 18,A+,13,10000,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양지축LH3단지,AAGDY1404344,경기도,고양시 덕양구,지축동,경기도 고양시 덕양구 지축동 1089 엘에이치3단지,"경기도 고양시 덕양구 오부자로 150 (지축동, 엘에이치3단지)",아파트,2019,20,36,890,2403,2022. 10. 13,A,11,7000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양지축LH4단지,AAGDY1406017,경기도,고양시 덕양구,지축동,경기도 고양시 덕양구 지축동 871 고양지축엘에이치4단지,"경기도 고양시 덕양구 오부자로 43 (지축동, 고양지축엘에이치4단지)",아파트,2021,24,34,473,1277,2021. 2. 2,A,8,7000,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,위스테이지축아파트,AAGDY1406235,경기도,고양시 덕양구,지축동,경기도 고양시 덕양구 지축동 940 고양 지축 위스테이,"경기도 고양시 덕양구 지정로 110 (지축동, 고양 지축 위스테이)",아파트,2022,20,33,539,1455,2022. 3. 30,A,12,7000,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,지축역북한산비바힐스,001TJ00000AgLtXYAV,경기도,고양시 덕양구,지축동,경기도 고양시 덕양구 지축동 875,경기도 고양시 덕양구 오부자로 55 (지축동),아파트,2024,29,25,612,1652,,A,12,7000,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,능곡1차현대홈타운,AAGDY0500662,경기도,고양시 덕양구,토당동,경기도 고양시 덕양구 토당동 352 능곡현대홈타운1차아파트,"경기도 고양시 덕양구 능곡로 30-12 (토당동, 능곡현대홈타운1차아파트)",아파트,2002,25,35,650,1755,2018. 1. 11,A+,15,10000,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,능곡삼윤아파트,AAGDY0500663,경기도,고양시 덕양구,토당동,경기도 고양시 덕양구 토당동 879 삼윤아파트,"경기도 고양시 덕양구 행당로11번길 16 (토당동, 삼윤아파트)",아파트,1991,13,34,249,672,2018. 2. 20,A,2,7000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,능곡풍림아이원아파트,AAGDY0500664,경기도,고양시 덕양구,토당동,경기도 고양시 덕양구 토당동 70 풍림아이원아파트,"경기도 고양시 덕양구 지도로103번길 48 (토당동, 풍림아이원아파트)",아파트,2002,19,34,445,1202,2022. 4. 7,A+,13,10000,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,능곡현대홈타운2차아파트,AAGDY0500665,경기도,고양시 덕양구,토당동,경기도 고양시 덕양구 토당동 53-44 능곡2차현대홈타운,"경기도 고양시 덕양구 능곡로13번길 16 (토당동, 능곡2차현대홈타운)",아파트,2002,24,34,556,1501,2018. 3. 29,A+,13,10000,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,한강능곡성원상떼빌1단지,AMGDY0503236,경기도,고양시 덕양구,토당동,경기도 고양시 덕양구 토당동 342-7 한강 능곡역 성원상떼빌,"경기도 고양시 덕양구 능곡로13번길 15 (토당동, 한강 능곡역 성원상떼빌)",주상복합,2008,17,32,96,144,2018. 5. 3,A,4,7000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,한라비발디리버아파트,AAGDY0500522,경기도,고양시 덕양구,토당동,경기도 고양시 덕양구 토당동 298 한라비발디아파트,"경기도 고양시 덕양구 토당로 93 (토당동, 한라비발디아파트)",아파트,2004,24,32,482,1301,2020. 2. 24,A,12,7000,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,SK뷰3차아파트,AAGDY0601087,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 650 행신3차에스케이뷰아파트,경기도 고양시 덕양구 행신로 131-11 (행신동),아파트,2009,25,34,574,1550,2018. 12. 11,A+,9,10000,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,능곡샘터2단지임대아파트,AAGDY0602945,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 983 샘터마을2단지아파트,"경기도 고양시 덕양구 충장로 118-30 (행신동, 샘터마을2단지아파트)",아파트,1996,20,25,504,1361,2024. 7. 1,A,6,7000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,능곡샘터3단지아파트,AAGDY0602928,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 1002 샘터마을3단지아파트,"경기도 고양시 덕양구 충장로123번길 26 (행신동, 샘터마을3단지아파트)",아파트,1997,15,21,720,1944,2019. 12. 20,A,9,7000,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,무원마을5단지쌍용한진아파트,AAGDY0604583,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 767 무원마을5단지아파트,"경기도 고양시 덕양구 용현로 10 (행신동, 무원마을5단지아파트)",아파트,1995,15,37,636,1717,2019. 12. 6,A+,22,10000,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,무원마을부영아파트,AAGDY0600864,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 773 무원마을1단지아파트,"경기도 고양시 덕양구 화신로 47 (행신동, 무원마을1단지아파트)",아파트,1995,15,28,662,1787,2021. 4. 27,A+,12,10000,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,샘터마을1단지아파트,0015i000013B6pTAAS,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 973 샘터마을1단지아파트,"경기도 고양시 덕양구 화신로 76 (행신동, 샘터마을1단지아파트)",아파트,1997,22,49,822,2219,2018. 2. 23,A+,21,10000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,서정마을파크하임휴먼시아,AAGDY0601703,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 1090 서정마을7단지아파트,"경기도 고양시 덕양구 소원로181번길 20 (행신동, 서정마을7단지아파트)",아파트,2009,15,45,394,1064,2021. 4. 28,A+,16,10000,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,소만1단지부영,AAGDY0600885,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 796 소만마을1단지아파트,"경기도 고양시 덕양구 충경로 149 (행신동, 소만마을1단지아파트)",아파트,1995,15,19,835,2255,2018. 12. 7,A,14,7000,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,소만5단지삼신,AAGDY0600886,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 788 소만마을5단지아파트,"경기도 고양시 덕양구 소원로181번길 15 (행신동, 소만마을5단지아파트)",아파트,1994,15,30,423,1142,2018. 1. 31,A+,12,10000,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,행신동성아파트,AAGDY0601080,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 791 소만마을10단지아파트,"경기도 고양시 덕양구 충경로 135 (행신동, 소만마을10단지아파트)",아파트,1994,15,23,377,1018,2019. 12. 20,A,5,7000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,행신무원마을6단지두산아파트,AAGDY0601090,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 702 무원마을6단지아파트,"경기도 고양시 덕양구 소원로 47 (행신동, 무원마을6단지아파트)",아파트,1994,15,32,688,1858,2018. 2. 21,A+,23,10000,230000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,행신서정마을주공4단지,AAGDY0601582,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 1068 서정마을4단지아파트,"경기도 고양시 덕양구 서정마을로 46 (행신동, 서정마을4단지아파트)",아파트,2008,15,32,545,1472,2018. 2. 21,A+,21,10000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,치과 업종 제한,2026.6.7,,,행신소만7단지대명아파트,AAGDY0601091,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 783 소만마을7단지아파트,"경기도 고양시 덕양구 화신로 36 (행신동, 소만마을7단지아파트)",아파트,1995,15,24,713,1925,2019. 4. 22,A,10,7000,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,능곡장미7차아파트,AAGDY0602929,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 644-1 장미아파트,"경기도 고양시 덕양구 행신로143번길 115 (행신동, 장미아파트)",아파트,1991,15,29,375,1013,2019. 12. 5,A,4,7000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,무원마을행신동동신아파트,AAGDY0600564,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 769 무원마을3단지아파트,"경기도 고양시 덕양구 용현로 20 (행신동, 무원마을3단지아파트)",아파트,1994,15,36,330,891,,A+,11,10000,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,송악모노빌,AOGDY0603061,경기도,고양시 덕양구,행신동,경기도 고양시 덕양구 행신동 758-1 송악모노빌,경기도 고양시 덕양구 용현로 21 (행신동),오피스텔,2002,10,9,162,305,2018. 12. 14,A,2,7000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DMC두산위브더퍼스트아파트,AAGDY3205611,경기도,고양시 덕양구,향동동,경기도 고양시 덕양구 향동동 405 DMC 두산위브 더 퍼스트,"경기도 고양시 덕양구 향기5로 66 (향동동, DMC 두산위브 더 퍼스트)",아파트,2020,23,25,1059,2859,2018. 3. 30,A+,25,10000,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DMC중흥S클래스더센트럴,AAGDY3206244,경기도,고양시 덕양구,향동동,경기도 고양시 덕양구 향동동 501 DMC 중흥S-클래스 더 센트럴,"경기도 고양시 덕양구 향동1로 20 (향동동, DMC 중흥S-클래스 더 센트럴)",아파트,2020,29,24,951,2568,2022. 3. 29,A+,23,10000,230000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DMC해링턴플레이스NHF,AAGDY3203783,경기도,고양시 덕양구,향동동,경기도 고양시 덕양구 향동동 421 디엠씨해링턴플레이스엔에이치에프,"경기도 고양시 덕양구 향기로 185 (향동동, 디엠씨해링턴플레이스엔에이치에프)",아파트,2019,21,24,1521,4107,2022. 9. 6,A+,33,10000,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양향동LH1단지,0015i000013B8LVAA0,경기도,고양시 덕양구,향동동,경기도 고양시 덕양구 향동동 407 고양향동엘에이치1단지,"경기도 고양시 덕양구 향기5로 55 (향동동, 고양향동엘에이치1단지)",아파트,2019,21,10,832,2246,2025-06-27,A,11,7000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,향동마을4단지,AAGDY3206018,경기도,고양시 덕양구,향동동,경기도 고양시 덕양구 향동동 406 향동마을4단지,"경기도 고양시 덕양구 향기5로 65 (향동동, 향동마을4단지)",아파트,2020,24,17,498,1345,2022. 1. 11,A,6,7000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양한화오벨리스크,AOGDY0701190,경기도,고양시 덕양구,화정동,경기도 고양시 덕양구 화정동 965 한화오벨리스크,경기도 고양시 덕양구 화정로 65 (화정동),오피스텔,2003,25,16,468,880,2020. 7. 7,A,4,7000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,달빛1단지아파트,AAGDY0700666,경기도,고양시 덕양구,화정동,경기도 고양시 덕양구 화정동 858 달빛마을1단지아파트,"경기도 고양시 덕양구 화중로 219 (화정동, 달빛마을1단지아파트)",아파트,1995,20,32,1784,4817,2018. 1. 26,A+,52,10000,520000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,달빛2단지라이프아파트,AAGDY0700668,경기도,고양시 덕양구,화정동,경기도 고양시 덕양구 화정동 851 달빛마을2단지아파트,"경기도 고양시 덕양구 화중로 222 (화정동, 달빛마을2단지아파트)",아파트,1996,20,21,1391,3756,2018. 12. 18,A+,22,10000,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,별빛7단지청구현대아파트,AAGDY0701241,경기도,고양시 덕양구,화정동,경기도 고양시 덕양구 화정동 953 별빛마을7단지아파트,"경기도 고양시 덕양구 화신로 340 (화정동, 별빛마을7단지아파트)",아파트,1995,20,33,1136,3067,2019. 3. 29,S,34,13000,442000,,,,,,,,,,,,,,,,,,,,,,,,,,,
